Payment ID (Number),Payment Date,Payment Currency,Payment Amount,Supplier Reference Number,Invoice Date,Description,Discount Amt,Amount Due,Amount Paid
7236836,09/19/2019,USD,52137.22,4077359,08/21/2019,,0,275.5,275.5
7236836,09/19/2019,USD,52137.22,4039404,07/29/2019,PMT,0,544.58,544.58
7236836,09/19/2019,USD,52137.22,3979888,06/18/2019,PMT,0,490.91,490.91
7236836,09/19/2019,USD,52137.22,3970902,06/12/2019,Todd Burns s/a,0,465.35,465.35
7236836,09/19/2019,USD,52137.22,4072884,08/19/2019,,0,146.15,146.15
7236836,09/19/2019,USD,52137.22,4079411,08/22/2019,,0,110.3,110.3
7236836,09/19/2019,USD,52137.22,4079414,08/22/2019,,0,100.96,100.96
7236836,09/19/2019,USD,52137.22,4079415,08/22/2019,,0,142.14,142.14
7236836,09/19/2019,USD,52137.22,4079412,08/22/2019,,0,48.51,48.51
7236836,09/19/2019,USD,52137.22,4079409,08/22/2019,,0,119.42,119.42
7236836,09/19/2019,USD,52137.22,4079410,08/22/2019,,0,353.44,353.44
7236836,09/19/2019,USD,52137.22,3929328,05/16/2019,,0,1050.64,1050.64
7236836,09/19/2019,USD,52137.22,3999191,07/01/2019,,0,34863.41,34863.41
7236836,09/19/2019,USD,52137.22,4075067,08/20/2019,,0,95.38,95.38
7236836,09/19/2019,USD,52137.22,4079408,08/22/2019,,0,213.23,213.23
7236836,09/19/2019,USD,52137.22,4079407,08/22/2019,,0,242.85,242.85
7236836,09/19/2019,USD,52137.22,4075070,08/20/2019,,0,311.21,311.21
7236836,09/19/2019,USD,52137.22,4072883,08/19/2019,,0,144.81,144.81
7236836,09/19/2019,USD,52137.22,4072879,08/19/2019,,0,110.85,110.85
7236836,09/19/2019,USD,52137.22,4072886,08/19/2019,,0,162.04,162.04
7236836,09/19/2019,USD,52137.22,4072887,08/19/2019,,0,249.7,249.7
7236836,09/19/2019,USD,52137.22,4072890,08/19/2019,,0,64.3,64.3
7236836,09/19/2019,USD,52137.22,4072881,08/19/2019,,0,98.27,98.27
7236836,09/19/2019,USD,52137.22,4075066,08/20/2019,,0,72.36,72.36
7236836,09/19/2019,USD,52137.22,4075069,08/20/2019,,0,194.26,194.26
7236836,09/19/2019,USD,52137.22,4072888,08/19/2019,,0,60.2,60.2
7236836,09/19/2019,USD,52137.22,4072880,08/19/2019,,0,86.29,86.29
7236836,09/19/2019,USD,52137.22,4077360,08/21/2019,,0,124.01,124.01
7236836,09/19/2019,USD,52137.22,4077357,08/21/2019,,0,384.22,384.22
7236836,09/19/2019,USD,52137.22,4072878,08/19/2019,,0,32.3,32.3
7236836,09/19/2019,USD,52137.22,4075072,08/20/2019,,0,107.45,107.45
7236836,09/19/2019,USD,52137.22,4072885,08/19/2019,,0,48.25,48.25
7236836,09/19/2019,USD,52137.22,4077358,08/21/2019,,0,608.07,608.07
7236836,09/19/2019,USD,52137.22,4081610,08/23/2019,,0,12.71,12.71
7236836,09/19/2019,USD,52137.22,3983892,06/20/2019,,0,235.31,235.31
7236836,09/19/2019,USD,52137.22,4079283,08/22/2019,,0,9391.47,9391.47
7236836,09/19/2019,USD,52137.22,4072889,08/19/2019,,0,84.93,84.93
7236836,09/19/2019,USD,52137.22,4072876,08/19/2019,,0,38.44,38.44
7236836,09/19/2019,USD,52137.22,4072875,08/19/2019,,0,253,253
